Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"49 Louise Rd #49, Newton, MA 02467","$2,149,000",5,4.5,37 days,Townhouse,Anya Kogan, • Luxury Realty Partners ,https://www.redfin.com/MA/Chestnut-Hill/49-Louise-Rd-02467/unit-49/home/179179309
"49 Louise Rd, Newton, MA 02467","$2,149,000",5,4.5,39 days,Single Family Residential,Anya Kogan, • Luxury Realty Partners ,https://www.redfin.com/MA/Chestnut-Hill/49-Louise-Rd-02467/home/11483417
"50 Beacon St, Newton, MA 02467","$4,400,000",5,6,42 days,Single Family Residential,Post Advisory Group, • Engel & Volkers Boston ,https://www.redfin.com/MA/Chestnut-Hill/50-Beacon-St-02467/home/11464033
"20 Hammond Pond Pkwy #14, Newton, MA 02467","$509,900",1,1,61 days,Condo,William Concannon, • Louise Condon Realty ,https://www.redfin.com/MA/Chestnut-Hill/20-Hammond-Pond-Pkwy-02467/unit-14/home/11481960
"247 West Roxbury Pkwy, Boston, MA 02467","$899,000",3,1.5,69 days,Single Family Residential,Michael Rothstein, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Chestnut-Hill/247-W-Roxbury-Pkwy-02467/home/9201893
"2 Hammond Pond Pkwy #601, Newton, MA 02467","$938,000",3,2,77 days,Condo,Boston Raw Luxury Group, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Chestnut-Hill/2-Hammond-Pond-Pkwy-02467/unit-601/home/11481784
"630 Hammond St #104, Brookline, MA 02467","$1,200,000",2,2,88 days,Condo,Hope McDermott, • Hope McDermott Real Estate ,https://www.redfin.com/MA/Chestnut-Hill/630-Hammond-St-02467/unit-104/home/11503202
"803-807 Boylston St, Brookline, MA 02467","$2,500,000",7,6,91 days,Multi-Family (2-4 Unit),Mei Zhou, • Coldwell Banker Realty - Andover ,https://www.redfin.com/MA/Chestnut-Hill/803-Boylston-St-02467/home/18955768
"250 Hammond Pond Pkwy Unit 702N, Newton, MA 02467","$765,000",2,2,95 days,Condo,Ilene Solomon, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Chestnut-Hill/250-Hammond-Pond-Pkwy-02467/unit-702N/home/11498359
"8 Moody St, Newton, MA 02467","$2,695,000",6,5.5,95 days,Single Family Residential,Todd Glaskin, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Chestnut-Hill/8-Moody-St-02467/home/182303580
"4 Moody St, Newton, MA 02467","$2,895,000",5,5.5,95 days,Single Family Residential,Todd Glaskin, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Chestnut-Hill/4-Moody-St-02467/home/182303506
"250 Hammond Pond Pkwy Unit 1114S, Newton, MA 02467","$799,000",2,2,144 days,Condo,Richard C. Dore, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Chestnut-Hill/250-Hammond-Pond-Pkwy-02467/unit-1114S/home/11468678
"35 Commonwealth Ave #106, Newton, MA 02467","$759,900",2,2,153 days,Condo,Team Lillian Montalto, • Lillian Montalto Signature Properties ,https://www.redfin.com/MA/Chestnut-Hill/35-Commonwealth-Ave-02467/unit-106/home/28456814
"34 Tanglewood Rd #34, Newton, MA 02459","$1,425,000",3,2.5,4 days,Townhouse,Natasha Roberts, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Chestnut-Hill/34-Tanglewood-Rd-02467/unit-34/home/136849690
"15 Laura Rd, Newton, MA 02468","$2,997,000",5,5.5,12 days,Single Family Residential,Krongel & Paul, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Waban/15-Laura-Rd-02468/home/11457254
"20 Kinmonth Rd #104, Newton, MA 02468","$1,475,000",2,2,12 days,Condo,The Jeff Groper Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/20-Kinmonth-Rd-02468/unit-104/home/183647315
"36 Silver Birch Rd, Newton, MA 02468","$3,998,000",6,7.5,61 days,Single Family Residential,Anya Kogan, • Luxury Realty Partners ,https://www.redfin.com/MA/Waban/36-Silver-Birch-Rd-02468/home/11452750
